,,,"GGUN-FL Fluorometer #323  - Signals in mV ",,,,,,,,,,
,,,"------","-------------","---------","-------------","--",,,,,,
"#","Time","R","Tracer 1","Tracer 2","Tracer 3","Turbidity  ","Baseline","Battery V","T","Conductiv","temps","Débit  (m3/s)","Concentration Fluo (kg/m3)"
163,"22/04/25-03:06:56",0,9,1.37,2.11,16.13,13.92,12.99,6.68,0.108,25.1395000000002,0.236494221765239,-0.00000000378350000000002
164,"22/04/25-03:21:56",0,9.01,1.39,2.12,16.12,13.92,12.99,6.68,0.106,25.1499166666669,0.245877668192385,-0.00000000324300000000003
165,"22/04/25-03:36:56",0,8.99,1.38,2.11,16.15,13.92,12.99,6.68,0.094,25.1603333333335,0.252884501894393,-0.000000004324
166,"22/04/25-03:51:56",0,9.01,1.38,2.1,16.18,13.91,12.99,6.68,0.098,25.1707500000002,0.262148932217801,-0.00000000324300000000003
167,"22/04/25-04:06:56",0,8.98,1.36,2.11,16.11,13.93,12.99,6.68,0.111,25.1811666666669,0.273597280517247,-0.00000000486449999999999
168,"22/04/25-04:21:56",0,8.97,1.41,2.12,16.19,13.94,12.99,6.69,0.101,25.1915833333335,0.282694645962357,-0.00000000540499999999998
169,"22/04/25-04:36:55",0,8.95,1.35,2.09,16.14,13.95,12.99,6.68,0.092,25.2020000000002,0.296438922334676,-0.00000000648600000000005
170,"22/04/25-04:51:55",0,8.99,1.39,2.08,16.14,13.93,12.99,6.69,0.102,25.2124166666669,0.308277168562522,-0.000000004324
171,"22/04/25-05:06:55",0,8.97,1.36,2.11,16.07,13.93,12.99,6.69,0.099,25.2228333333335,0.320858401061795,-0.00000000540499999999998
172,"22/04/25-05:21:55",0,8.95,1.39,2.09,16.27,13.92,12.99,6.69,0.103,25.2332500000002,0.337611926562423,-0.00000000648600000000005
173,"22/04/25-05:36:55",0,8.98,1.37,2.12,16.12,13.91,12.99,6.69,0.104,25.2436666666669,0.353640225975964,-0.00000000486449999999999
174,"22/04/25-05:51:55",0,9,1.4,2.09,16.29,13.91,12.99,6.69,0.097,25.2540833333335,0.368309996276851,-0.00000000378350000000002
175,"22/04/25-06:06:55",0,8.99,1.38,2.11,16.26,13.9,12.99,6.69,0.104,25.2645000000002,0.394343873575272,-0.000000004324
176,"22/04/25-06:21:55",0,8.94,1.38,2.11,16.32,13.94,12.99,6.69,0.116,25.2749166666669,0.420714597307102,-0.00000000702650000000004
177,"22/04/25-06:36:55",0,8.95,1.37,2.14,16.33,13.91,12.99,6.69,0.104,25.2853333333335,0.466798917138323,-0.00000000648600000000005
